,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8739,5769,80,44,1.0,17.5,32.0
8740,5769,80,44,1.0,5.5,94.0
8741,5769,80,44,1.0,10.5,94.0
8742,3983,157,2606,1.0,4.5,0.0
8743,3983,157,2606,1.0,5.5,0.0
8744,8964,48,1206,1.0,19.5,32.0
8745,8964,48,1206,1.0,20.0,0.0
8746,8964,48,1206,1.0,5.5,222.0
8747,4015,180,599,1.0,18.0,0.0
8748,4015,180,599,1.0,22.0,0.0
8749,4015,180,599,1.0,0.0,31.0
8750,4015,180,599,1.0,2.0,0.0
8751,4015,180,599,1.0,6.5,0.0
8752,9596,19,2588,0.0,4.0,31.0
8753,9596,19,2588,0.0,6.5,30.0
8754,347,47,835,1.0,17.0,0.0
8755,347,47,835,1.0,20.0,96.0
8756,347,47,835,1.0,23.5,63.0
8757,347,47,835,1.0,3.0,97.0
8758,347,47,835,1.0,6.0,63.0
8759,2774,196,1711,0.0,0.0,126.0
8760,4102,31,1476,0.0,5.0,32.0
8761,4102,31,1476,0.0,7.0,95.0
8762,5095,34,794,1.0,6.5,0.0
8763,5095,34,794,1.0,9.5,30.0
8764,8029,151,2364,1.0,2.5,0.0
8765,8029,151,2364,1.0,4.5,0.0
8766,3317,231,963,0.0,4.0,94.0
8767,3317,231,963,0.0,6.0,30.0
8768,2428,196,3229,0.0,12.5,31.0
8769,2428,196,3229,0.0,15.5,95.0
8770,5727,65,136,0.0,6.0,126.0
8771,5727,65,136,0.0,8.0,95.0
8772,5727,65,136,0.0,10.0,31.0
8773,5946,62,119,0.0,19.0,63.0
8774,5946,62,119,0.0,22.0,64.0
8775,5946,62,119,0.0,1.0,252.0
8776,5946,62,119,0.0,4.5,95.0
8777,5063,97,1895,1.0,19.5,94.0
8778,5063,97,1895,1.0,21.5,63.0
8779,5063,97,1895,1.0,0.5,95.0
8780,5322,79,297,0.0,19.0,63.0
8781,5322,79,297,0.0,23.0,32.0
8782,5322,79,297,0.0,1.5,32.0
8783,5322,79,297,0.0,3.5,0.0
8784,6822,48,758,0.0,16.5,0.0
8785,6822,48,758,0.0,19.5,95.0
8786,3725,263,2626,1.0,20.0,0.0
8787,3725,263,2626,1.0,22.0,0.0
8788,335,36,1407,1.0,4.5,0.0
8789,335,36,1407,1.0,4.5,199.0
8790,3073,233,1911,1.0,18.5,1264.0
8791,3073,233,1911,1.0,19.0,31.0
8792,3073,233,1911,1.0,21.5,1070.0
8793,3073,233,1911,1.0,21.5,63.0
8794,4771,84,246,1.0,4.5,126.0
8795,4771,84,246,1.0,10.0,0.0
8796,4231,21,1105,1.0,14.0,64.0
8797,4231,21,1105,1.0,16.0,0.0
8798,6262,147,1834,0.0,21.5,128.0
8799,6262,147,1834,0.0,1.0,222.0
8800,444,47,824,0.0,19.0,32.0
8801,444,47,824,0.0,22.5,0.0
8802,444,47,824,0.0,1.5,0.0
8803,444,47,824,0.0,5.0,65.0
8804,6701,91,1646,0.0,16.5,32.0
8805,6701,91,1646,0.0,21.5,61.0
8806,6701,91,1646,0.0,1.0,0.0
8807,3703,258,3082,1.0,19.0,62.0
8808,609,281,3136,0.0,6.0,281.0
8809,609,281,3136,0.0,8.5,160.0
8810,609,281,3136,0.0,10.5,0.0
8811,4944,17,1345,1.0,17.5,0.0
8812,4944,17,1345,1.0,19.0,0.0
8813,4781,79,221,0.0,6.0,0.0
8814,4781,79,221,0.0,8.0,64.0
8815,8029,153,2404,1.0,22.5,0.0
8816,8029,153,2404,1.0,0.5,32.0
8817,3618,258,3077,0.0,5.5,32.0
8818,9274,250,3115,0.0,7.5,247.0
8819,9274,250,3115,0.0,7.5,62.0
8820,9274,250,3115,0.0,9.0,284.0
8821,9274,250,3115,0.0,9.0,31.0
8822,9274,250,3115,0.0,10.5,348.0
8823,9274,250,3115,0.0,10.5,92.0
8824,7643,54,91,1.0,16.5,32.0
8825,7643,54,91,1.0,18.5,126.0
